date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
2002-05-01,9925.25,9944.9,10353.43,9802.23,4800000000.0,-0.21
2002-04-01,9946.22,10402.07,10402.07,9811.57,5110000000.0,-4.4
2002-03-01,10403.94,10111.04,10673.1,10111.04,4560000000.0,2.95
2002-02-01,10106.13,9923.04,10255.24,9580.32,4650000000.0,1.88
2002-01-02,9920.0,10021.71,10300.15,9529.46,248940000.0,0.0
2002-01-01,9920.0,10021.71,10300.15,9529.46,4960000000.0,-1.01
2001-12-03,10021.57,9848.93,10184.45,9703.9,222480000.0,0.0
2001-12-01,10021.5,9848.93,10184.45,9703.9,4270000000.0,1.73
2001-11-01,9851.56,9087.45,9992.79,9014.46,4660000000.0,8.56
2001-10-01,9075.14,8845.97,9598.17,8732.14,5720000000.0,2.57
2001-09-04,8847.56,9946.98,10182.38,8062.34,393050000.0,0.0
2001-09-01,8847.56,9946.98,10182.38,8062.34,5560000000.0,-11.08
2001-08-01,9949.75,10527.38,10609.65,9869.14,4080000000.0,-5.45
2001-07-02,10522.81,10504.95,10679.12,10120.89,230020000.0,0.0
2001-07-01,10522.81,10504.95,10679.12,10120.89,4610000000.0,0.19
2001-06-01,10502.4,10913.57,11196.53,10394.72,4890000000.0,-3.75
2001-05-01,10911.94,10734.05,11350.05,10673.22,4520000000.0,1.65
2001-04-02,10734.97,9877.16,10906.41,9375.72,272380000.0,0.0
2001-04-01,10734.97,9877.16,10906.41,9375.72,5180000000.0,8.67
2001-03-01,9878.78,10493.25,10859.5,9106.54,6040000000.0,-5.87
2001-02-01,10495.28,10884.82,11035.14,10294.01,4160000000.0,-3.6
2001-01-02,10887.36,10790.92,11028.0,10468.04,290790000.0,0.0
2001-01-01,10887.36,10790.92,11028.0,10468.04,5830000000.0,0.93
2000-12-01,10786.85,10416.76,10917.68,10299.21,5210000000.0,3.58
2000-11-01,10414.49,10966.21,11006.5,10292.39,4680000000.0,-5.07
2000-10-02,10971.14,10659.06,10995.41,9654.64,297120000.0,0.0
2000-10-01,10971.14,10659.06,10995.41,9654.64,6260000000.0,3.01
2000-09-01,10650.92,11219.54,11401.19,10567.32,4640000000.0,-5.03
2000-08-01,11215.1,10523.81,11319.06,10516.76,3620000000.0,6.59
2000-07-03,10521.98,10450.36,10874.63,10393.09,171240000.0,0.0
2000-07-01,10521.98,10450.36,10874.63,10393.09,3250000000.0,0.71
2000-06-01,10447.9,10532.27,10863.0,10335.46,3790000000.0,-0.71
2000-05-01,10522.34,10749.42,10971.24,10258.81,3820000000.0,-1.97
2000-04-03,10733.91,10863.28,11425.45,10201.53,222280000.0,0.0
2000-04-01,10733.92,10863.28,11425.45,10201.53,4050000000.0,-1.72
2000-03-01,10921.93,10128.11,11234.65,9731.81,4750000000.0,7.84
2000-02-01,10128.31,10937.74,11118.93,9836.06,3660000000.0,-7.42
2000-01-03,10940.53,11501.85,11750.28,10701.64,202320000.0,0.0
2000-01-01,10940.54,11501.85,11750.28,10701.64,3830000000.0,-4.84
1999-12-01,11497.12,10876.47,11568.77,10859.65,3170000000.0,5.69
1999-11-01,10877.81,10730.79,11112.77,10536.27,3250000000.0,1.38
1999-10-01,10729.87,10335.69,10790.02,9976.02,2290000000.0,3.8
1999-09-01,10336.96,10828.44,11142.41,10081.13,1750000000.0,-4.55
1999-08-02,10829.28,10654.83,11365.93,10549.08,89010000.0,0.0
